Union,ইউনিয়ন
Champapur,চাম্পাপুর
Chamrul,চামরুল
Chamta,চামটা
Chanchari,চাঁচাড়ি
Chanchra,চাঁচড়া
Chandaikona,চান্দাইকোনা
Chandan Baisha,চন্দন বৈশা
Chandan Nagar,চন্দন নগর
Chandanaish Paurashava,চন্দনাইশ পৌরসভা
Chandanbari,চন্দনবাড়ি
Chandani,চান্দনী
Chandanpat,চন্দনপাট
Chandanpur,চন্দনপুর
Chandas,চান্দাস
Chandba,চাঁদবা
Chander Char,চান্দের চর
Chanderkandi,চাঁদেরকান্দি
Chandgaon,চাঁদগাঁও
Chandgram,চাঁদগ্রাম
Chandhar,চান্দহর
Chandi,চন্দী
Chandi Pasha,চন্দী পাশা
Chandibarpur,চান্দিবরপুর
Chandigarh,চান্দিগড়
Chandighat,চান্দিঘাট
Chandina Paurashava,চান্দিনা পৌরসভা
Chandipasha,চন্ডিপাশা
Chandipur,চণ্ডিপুর
Chandkhali,চাঁদখালি
Chandkhana,চাঁদখানা
Chandla,চান্দলা
Chandnandi,চাঁদনন্দি
Chandpai Range,চাঁদপাই রেঞ্জ
Chandpasha,চাঁদপাশা
Chandpi,চাঁদপি
Chandpur,চাঁদপুর
Chandpur Paurashava,চাঁদপুর পৌরসভা
Chandra,চন্দ্রা
Chandra Dighalia,চন্দ্রা দিঘলিয়া
Chandra Mohan,চন্দ্রমোহন
Chandraganj,চন্দ্রগঞ্জ
Chandraghona,চন্দ্রঘোনা
Chandraghona Kadamtali,চন্দ্রঘোনা কদমতলী
Chandrakona,চন্দ্রকোনা
Chandrapur,চন্দ্রপুর
Chandshi,চাঁদশি
Chandura,চান্দুরা
Chanduria,চান্দুরিয়া
Changdhupail,চংধুপইল
Chanhara,চানহারা
Chaora Bargachha,চাওড়া বারগাছা
Chapai Nababganj Paurashava,চাঁপাই নবাবগঞ্জ পৌরসভা
Chapair,চাপাইর
Chapartala,চাপারতলা
Chapila,চাপিলা
Chapitala,চাপিতালা
Chapra,চাঁপড়া
Chapra Saramjani,চাপড়া সরমজানি
Chaprashirhat,চাপরাশিরহাট
Char Abdullah,চার আব্দুল্লাহ
Char Alexandar,চর আলেকজান্ডার
Char Algi,চর আলগি
Char Amaddi,চর আমদ্দি
Char Amanullah,চর আমানুল্লাহ
Char Anupnagar,চর অনুপনগর
Char Aomkhaoa,চর আওমখাওয়া
Char Aralia,চর আড়ালিয়া
Char Ashariadaha,চর আশারিয়াদহ
Char Ashtadhar,চর অষ্টাধর
Char Atra,চর আত্রা
Char Bagdanga,চর বাগডাঙ্গা
Char Baniari,চর বানিয়ারি
Char Banipakuri,চর বানিপাকুড়ি
Char Baria,চর বাড়িয়া
Char Bata,চর বাটা
Char Bedam,চর বেদম
Char Bhadrasan,চর ভদ্রসান
Char Bhaga,চর ভাগা
Char Bhairabi,চর ভৈরবী
Char Bhurungamari,চর ভুরুংগামারি
Char Bhuta,চর ভুটা
Char Bishnupur,চর বিষ্ণুপুর
Char Biswas,চর বিশ্বাস
Char Census,চর সেন্সাস
Char Chandia,চর চন্ডিয়া
Char Chartala,চর চারতলা
Char Clerk,চর ক্লার্ক
Char Darbesh,চর দরবেশ
Char Daulat Khan,চর দৌলত খান
Char Dighaldi,চর দিঘলদি
Char Duanti,চর দুয়ান্তি
Char Ekkaria,চর এক্কারিয়া
Char Elahi,চর এলাহি
Char Fakira,চর ফকিরা
Char Falcon,চর ফলকন
Char Faradi,চর ফরাদি
Char Gazi,চর গাজী
Char Girish,চর গিরিশ
Char Goalini,চর গোয়ালিনী
Char Gopalpur,চর গোপালপুর
Char Harirampur,চার হরিরামপুর
Char Hazari,চর হাজারি
Char Ishwar,চর ঈশ্বর
Char Ishwardia,চর ঈশ্বরদিয়া
Char Islmapur,চর ইসলামপুর
Char Jabbar,চর জব্বার
Char Janajat,চর জনজাত
Char Jasordi,চর যশোরদি
Char Jhaukanda,চর ঝাউকন্দ
Char Jubille,চর জুবিলি
Char Kadira,চর কাদিরা
Char Kajal,চর কাজল
Char Kakra,চর কাকরা
Char Kalekhan,চর কালেখান
Char Kalkini,চর কালকিনি
Char Kalmi,চর কালমি
Char Kewar,চর কেওয়ার
Char Khalifa,চর খলিফা
Char King,চর কিং
Char Kowa,চর কোয়া
Char Kukri Mukri,চর কুকরি মুকরি
Char Kumaria,চর কুমাড়িয়া
Char Lakshya,চর লক্ষ্যা
Char Lawrence,চর লরেন্স
Char Madhabdia,চর মাধবদিয়া
Char Madhua,চর মাধুয়া
Char Madras,চর মাদ্রাজ
Char Majlishpur,চর মজলিশপুর
Char Manair,চর মানাইর
Char Mandalia,চরমান্দালিয়া
Char Manika,চর মানিকা
Char Martin,চর মার্টিন
Char Matua,চর মাতুয়া
Char Mohana,চর মোহনা
Char Monai,চর মোনাই
Char Montaz,চর মোন্তাজ
Char Mucharia,চর মুচারিয়া
Char Nasirpur,চর নাসিরপুর
Char Nilakshmia,চর নীলাক্ষ্মীয়া
Char Pakerdaha,চর পাকেরদহ
Char Pakshimari,চরপক্ষীমারি
Char Parbati,চর পরবতী
Char Pata,চর পাতা
Char Patharghata,চর পাথারঘাটা
Char Poragacha,চর পোড়াগাছ
Char Putimari,চর পুটিমারি
Char Rajibpur,চর রাজিবপুর
Char Ramani Mohan,চর রামানী মোহন
Char Ramiz,চর রমিজ
Char Ruhita,চর রুহিতা
Char Samaia,চর সমাইয়া
Char Sherpur,চর শেরপুর
Char Shibpur,চর শিবপুর
Char Sindur,চর সিন্দুর
Char Subuddi,চর সুবুদ্দি
Char Tarapur,চর তারাপুর
Char Ujilaba,চর উজিলাবা
Char Wapda,চর ওয়াপদা
Charadi,চরাদি
Charaikhola,চরইখোলা
Charamba,চরম্বা
Charandwip,চরনদ্বীপ
Charati,চারতি
Charghat,চারঘাট
Charghat Paurashava,চারঘাট পৌরসভা
Charigram,চারিগ্রাম
Charikata,চারিকটা
Charkatari,চরকাটারি
Charkhai,চারখাই
Charmohalla Union,চরমোহল্লা ইউনিয়ন
Charnar Char,চারনার চার
Charol,চারওল
Charsai,চরসাই
Chashirhat,চাষিরহাট
Chatalpar,চাতালপাড়
Chatari,চাতারি
Chatkhil Paurashava,চাটখিল পৌরসভা
Chatmohar Paurashava,চাটমোহর পৌরসভা
Chatra,চাত্রা
Chatul,চাটুল
Chauddagram,চৌদ্দগ্রাম
Chauddagram Paurashava,চৌদ্দগ্রাম পৌরসভা
Chauddasata,চৌদ্দশত
Chaufaldandi,চাউফলদন্ডি
Chaugachha,চৌগাছা
Chaugachha Paurashava,চৌগাছা পৌরসভা
Chauganga,চৌগঙ্গা
Chaugram,চৌগ্রাম
Chauhat,চৌহাত
Chaukibari,চৌকিবাড়ী
Chaulia,চৌলিয়া
Chaumohani Paurashava,চৌমোহনী পৌরসভা
Chehelgazi,চেহেলগাজি
Chenchri Rampur,চেনচরী রামপুর
Chengi,চেঙ্গি
Chengmari,চেংমাড়ি
Cheora,চেওরা
Cheragpur,চেরাগপুর
Chhagalnaiya Paurashava,ছাগলনাইয়া পৌরসভা
Chhaikhola,ছাইখোলা
Chhaliakandi,ছালিয়াকান্দি
Chhangachha,ছাঁগাছা
Chhanua,ছানুয়া
Chhaola,ছাওলা
Chhaor,ছাওড়
Chhaparhati,ছাপাড়হাটি
Chhatail,ছাতাইল
Chhatak,ছাতক
Chhatak Paurashava,ছাতক পৌরসভা
Chhatar Dighi,ছাতার দিঘি
Chhatarpaia,ছাতারপাইয়া
Chhatiain,ছতিয়াইন
Chhatian,ছাতিয়ান
Chhatiangram,ছাতিয়ানগ্রাম
Chhatir Char,ছাতির চর
Chhatni,ছাতনী
Chhayani,ছায়ানী
Chhaygaon,ছয়গাঁও
Chhaysuti,ছায়সুটি
Chhibatali,চিবতলী
Chhinai,ছিনাই
Chhiram,ছিরাম
Chhota Bagi,ছোট বাগি
Chhota Baisdia,ছোট বাইশদিয়া
Chhota Bhakla,ছোট ভাকলা
Chhota Bighai,ছোট বিঘাই
Chhotamohes Khali,ছোটমহেশ খালী
Chikajani,চিকাজানী
Chikandandi,চিকনদন্ডি
Chikandi,চিকন্দি
Chikashi,চিকাশি
Chikdair,চিকদাইর
Chiknagul,চিকনাগুল
Chiknikandi,চিকনিকান্দি
Chila,চিলা
Chilahati,চিলাহাটি
Chilar Char,ছিলার চর
Chilarang,চিলারং
Chilmari,চিলমারি
Chinadulli,চিনাডুলি
Chingrakhali,চিংড়াখালি
Chinishpur,চিনিশপুর
Chira Para Parsaturia,চিড়া পাড়া পরসাতুরিয়া
Chirang,চিরাং
Chiringa,চিরিংগা
Chitadda,চিতড্ডা
Chitalia,চিতালিয়া
Chitalmari,চিতলমারি
Chithalia,চিথালিয়া
Chithla,চিথলা
Chithulia,চিথুলিয়া
Chitmaram,চিতমারাম
Chitrakot,চিত্রাকোট
Chokhyong,চৈক্ষ্যাং
Chopinagar,চোপিনগড়
Chouara,চৌয়াড়া
Chowdala,চৌদালা
Chowmohani,চৌমুহনী
Chowra,চৌরা
Chuadanga Paurashava,চুয়াডাঙ্গা পৌরসভা
Chukaibari,চুকাইবাড়ি
Chumordi,চুমরদি
Chunarughat,চুনারুঘাট
Chunarughat Paurashava,চুনারুঘাট পৌরসভা
Chunati,চুনাটি
Chunkhola,চুনখোলা
Chunta,চুন্টা
Churain,চুড়াইন
Churamankati,চুরামানকাঠি
Comilla Dakshin Paurashava,কুমিল্লা দক্ষিণ পৌরসভা
Comilla Paurashava,কুমিল্লা পৌরসভা
Cox's Bazar Paurashava,কক্সবাজার পৌরসভা
Dabar,ডাবোর
Dabua,ডাবুয়া
Dacope,দাকোপ
Dadpur,দাদপুর
Dadshi,দাদশী
Daganbhuiyan,দাগনভূইয়া
Daganbhuiyan Paurashava,দাগনভূইয়া পৌরসভা
Dahabanda,দহবান্দা
Dahagram,দহগ্রাম
Dahia,দাহিয়া
Daibagnyahati,দৈবজ্ঞহাটি
Daihari,দৈহারি
Daipukuria,দাইপুকুরিয়া
Dakatia,ডাকাতিয়া
Dakhin D.bhurshi,দক্ষিণ দেভুড়শী
Dakhsin Nayergaon,দক্ষিণ নায়েরগাঁও
Dakshin  Sukhairrajapur,দক্ষিণ সুখাইরাজাপুর
Dakshin Akhaura,দক্ষিণ আখাউরা
Dakshin Algi Durgapur,দক্ষিণ আলগী দুর্গাপুর
Dakshin Badaghat,দক্ষিণ বাদাঘাট
Dakshin Badal,দক্ষিণ বাদল
Dakshin Banchharampur,দক্ষিণ বাঞ্ছারামপুর
Dakshin Banigram,দক্ষিণ বানিগ্রাম
Dakshin Bedkashi,দক্ষিণ বেদকাশি
Dakshin Bishiura,দক্ষিন বিশিউড়া
Dakshin Bongshikunda,দক্ষিণ বংশীকুণ্ড
Dakshin Dakshinbhagh,দক্ষিণ দক্ষিণভাগ
Dakshin Dhamti,দক্ষিণ ধামতি
Dakshin Dhurung,দক্ষিণ ধুরুং
Dakshin Dighaldi,দক্ষিণ দিঘলদি
Dakshin Dowarabazar,দক্ষিণ দোয়ারাবাজার
Dakshin Durgapur,দক্ষিণ দুর্গাপুর
Dakshin Elliotganj,দক্ষিণ এলিয়টগঞ্জ
Dakshin Faridganj,দক্ষিণ ফরিদগঞ্জ
Dakshin Gandharbapur,দক্ষিণ গন্ধরবাপুর
Dakshin Gobindapur,দক্ষিণ গোবিন্দপুর
Dakshin Gohat,দক্ষিণ গোহাট
Dakshin Gunaighar,দক্ষিণ গুনাইঘর
Dakshin Hamchadi,দক্ষিণ হামছড়ি
Dakshin Islampur,দক্ষিণ ইসলামপুর
Dakshin Jhalam,দক্ষিণ ঝলম
Dakshin Joynagar,দক্ষিণ জয়নগর
Dakshin Kachua,দক্ষিণ কাচুয়া
Dakshin Kalocho,দক্ষিণ কালোচো
Dakshin Khali Union,দক্ষিণ খালী ইউনিয়ন
Dakshin Khosbas,দক্ষিণ খোসবাস
Dakshin Khurma,দক্ষিণ খুরমা
Dakshin Madarsha,দক্ষিণ মাদার্শা
Dakshin Maij Para,দক্ষিণ মাইজ পারা
Dakshin Meher,দক্ষিণ মেহের
Dakshin Mithachhari,দক্ষিণ মিঠাছড়ি
Dakshin Natai,দক্ষিণ নাটাই
Dakshin Paik Para,দক্ষিণ পাইকপাড়া
Dakshin Paschim Baniyachang,দক্ষিণ পশ্চিম বানিয়াচং
Dakshin Purba Baniyachang,দক্ষিণ পূর্ব বানিয়াচং
Dakshin Ramchandrapur,দক্ষিণ রামচন্দ্রপুর
Dakshin Roysree,দক্ষিণ রায়শ্রী
Dakshin Rupsa,দক্ষিণ রূপসা
Dakshin Sakuchia,দক্ষিণ সাকুচিয়া
Dakshin Shahabajpur,দক্ষিণ শাহাবাজপুর
Dakshin Shilmuri,দক্ষিণ শিলমুড়ি
Dakshin Shuhilpur,দক্ষিণ সুহিলপুর
Dakshin Singerbil,দক্ষিণ সিঙ্গারবিল
Dakshin Sreepur,দক্ষিণ শ্রীপুর
Dakshin Suchi Para,দক্ষিণ সুচিপাড়া
Dakshin Upadi,দক্ষিণ উপাদী
Dakshingaon (Part),দক্ষিণগাঁও (অংশ)
Dakshinkhan (Part),দক্ষিণখান (অংশ)
Dakshinkhan (part),দক্ষিণখান (অংশ)
Dakshinpara Union,দক্ষিণপাড়া ইউনিয়ন
Dakua,ডাকুয়া
Dalagram,দলগ্রাম
Dalal Bazar,দালাল বাজার
Dalbuganj,ডালবুগঞ্জ
Daldali,দলদলি
Daldalia,দলদলিয়া
Dalpa,দলপা
Damiha,দামিহা
Damkur,দামকুর
Damodar,দামোদর
Damodarpur,দামোদরপুর
Dampara,দমপাড়া
Damudya Paurashava,ডামুড্যা পৌরসভা
Damurhuda,দামুড়হুদা
Dana Patali,দানাপাটুলী
Dandapal,দন্ডপাল
Danga,ডাঙ্গা
Dangdhara,ডাংধরা
Dangi,ডাঙ্গি
Dangi Para,ডাঙ্গি পাড়া
Dantbhanga,দাঁতভাঙ্গা
Danthia Bamangram,দাতিয়া বামনগ্রাম
Dantmara,দাঁতমারা
Danya,দাইন্যা
Daoabari,দাওয়াবাড়ি
Daogaon,দাওগাঁও
Dapdapia,ড্যাপডাপিয়া
Dapunia,দাপুনিয়া
Daragram,দড়গ্রাম
Darajhat,দরাজহাট
Darbarpur,দরবারপুর
Darbasta,দরবস্তা
Darbeshpur,দরবেশপুর
Dari Char Khajuria,দাড়ি চর খাজুরিয়া
Dariadaulat,দরিয়াদৌলত
Darial,দাড়িয়াল
Dariapur,দারিয়াপুর
Darora,দারোরা
Darshan Para,দর্শন পাড়া
Darshana,দর্শনা
Darshana Paurashava,দর্শনা পৌরসভা
Darul Aman,দারুল আমান
Dasar,দাসার
Dasghar,দাসঘর
Dasher Bazar,দাসের বাজার
Dashkia,দশকিয়া
Dashmina,দশমিনা
Dashuria,দাশুরিয়া
Daspara,দাসপাড়া
Datta Para,দত্তপাড়া
Datter Bazar,দত্তের বাজার
Dauatala,দাউতলা
Daudkandi Paurashava,দাউদকান্দি পৌরসভা
Daudkhali,দাউদখালি
Daudpur,দাউদপুর
Daukar Char,ডৌকারচর
Dauki,ডাউকি
Daulatdia,দৌলতদিয়া
Daulatpur,দৌলতপুর
Daulatpur (Purba Panchgachh),দৌলতপুর (পূর্ব পাঁচগাছি)
Daulkhar,দৌলখার
Dayamir,দয়ামির
Dayarampur,দয়ারামপুর
Debagram,দেবগ্রাম
Debhata,দেবহাটা
Debidoba,দেবিডোবা
Debidwar,দেবীদ্বার
Debidwar Paurashava,দেবীদ্বার পৌরসভা
Debiganj,দেবীগঞ্জ
Debinagar,দেবিনগর
Debipur,দেবীপুর
Debottar,দেবত্তর
Debpara,দেবপাড়া
Decreerchar,ডিক্রিরচর
Dehergati,দেহেরগাতি
Dehunda,দেহুন্দা
Delduar,দেলদুয়ার
Deluabari,দেলুয়াবাড়ি
Deluti,দেলুটি
Dema,ডেমা
Demra,ডেমরা
Demra (part),ডেমরা (অংশ)
Demusia,দেমুশিয়া
Deoghar,দেওঘর
Deokalas,দেওকলস
Deokhola,দেওখোলা
Deoli,দেওলি
Deopara,দেওপাড়া
Deor,দেওড়
Deora,দেওড়া
Deorgachh,দেওড়গাছ
Deoti,দেওটি
Derai Paurashava,দেরাই পৌরসভা
Derai Sarmangal,দেরাই সরমঙ্গল
Deshigram,দেশীগ্রাম
Deula,দেউলা
Deulabari,দেউলাবাড়ি
Deuli,দেউলি
Deuli Subidkhali,দেউলি সুবিদখালি
Dewan Bazar,দেওয়ান বাজার
Dewanganj,দেওয়ানগঞ্জ
Dewanganj Paurashava,দেওয়ানগঞ্জ পৌরসভা
Dhainagar,ধাইনগর
Dhaka Dakshin,ঢাকা দক্ষিণ
Dhakhin Tarabunia,দক্ষিণ তারাবুনিয়া
Dhaki,ঢাকি
Dhakkamara,ধাক্কামারা
Dhakua,ধাকুয়া
Dhakuria,ধাকুরিয়া
Dhal Char,ধল চর
Dhala,ধলা
Dhala Mulgaon,ধলা মুলগাঁও
Dhala Para,ধলা পাড়া
Dhalahar,ধলাহার
Dhalai,ধলাই
Dhalar Char,ধলার চর
Dhalbaria,ধলবাড়িয়া
Dhalghat,ধলঘাট
Dhalghata,ধালঘাটা
Dhalgram,ধলগ্রাম
Dhalhara Chandra,ধলহার চন্দ্র
Dhali Gaurnagar,ডালি গৌরনগর
Dhalia,ঢালিয়া
Dhaljora,ধলজোরা
Dhalla,ধল্লা
Dhalua,ধালুয়া
Dhamainagar,ধামাইনগর
Dhamair,ধামাইর
Dhamalia,ধামালিয়া
Dhamgar,ধামগড়
Dhamghar,ধামঘর
Dhamoirhat,ধামইরহাট
Dhamoirhat Paurashava,ধামইরহাট পৌরসভা
Dhamor,ধামর
Dhamrai,ধামরাই
Dhamrai Paurashava,ধামরাই পৌরসভা
Dhamsana,ধামসানা
Dhamsar,ধামসার
Dhamserni,ধামশ্রেণী
Dhan Shalik,ধান শালিক
Dhan Siri,ধানসিঁড়ি
Dhanbari,ধনবাড়ি
Dhanbari Paurashava,ধনবাড়ী পৌরসভা
Dhandia,ধনদিয়া
Dhaneshwargati,ধনেশ্বরগাতি
Dhangara,ধঙ্গারা
Dhania,ধনিয়া
Dhania (part),ধনিয়া (অংশ)
Dhanikhola,ধানিখোলা
Dhanisafa,ধনিসাফা
Dhankati,ধানকাঠি
Dhankhali,ধানখালী
Dhankhola,ধনখোলা
Dhankora,ধানকোড়া
Dhanpur,ধনপুর
Dhansagar,ধনসাগর
Dhanshail,ধানশাইল
Dhantala,ধনতলা
Dhanua,ধানুয়া
Dhaoa,ধাওয়া
Dhaperhat,ধাপেরহাট
Dhar Mandal,ধর মন্ডল
Dhara,ধরা
Dharabarisha,ধরবাড়িশা
Dharampur,ধরমপুর
Dharanibari,ধরণীবাড়ী
Dharanji,ধরঞ্জি
Dharkhar,ধারখার
Dharmagarh,ধর্মগড়
Dharmaghar,ধর্মঘর
Dharmapal,ধর্মপাল
Dharmapasha,ধর্মপাশা
Dharmapur,ধর্মপুর
Dharmapur (Pananagar),ধর্মপুর (পানানগর)
Dhemsa,ঢেমসা
Dheukhali,ঢেউখালী
Dhipur,ধীপুর
Dhitpur,ধিতপুর
Dhonpur,ধনপুর
Dhopachhari,ধোপাছড়ি
Dhopadaha,ধোপাদহ
Dhopadanga,ধোপাডাঙ্গা
Dhopakandi,ধোপাকান্দি
Dhopakhali,ধোপাখালী
Dhubaria,ধুবাড়িয়া
Dhubil,ধুবিল
Dhukaria Bera,ধুকারিয়া বেড়া
Dhulasar,ধুলসার
Dhulauri,ধুলাউরি
Dhulia,ধুলিয়া
Dhuliani,ধুলিয়ানী
Dhulihar,ধুলিহাড়
Dhulkhola,ধুলখোলা
Dhulsunra,ধুলসুনরা
Dhum,ধুম
Dhunat,ধুনট
Dhunat Paurashava,ধুনট পৌরসভা
Dhupchanchia,ধুপচাঁচিয়া
Dhupchanchia Paurashava,ধুপচাঁচিয়া পৌরসভা
Dhurail,ধুরাইল
Dhurung,ধুরুং
Diara,দিয়াড়া
Dibar,দিবার
Digalkandi,দিগলকান্দি
Digar,দিগড়
Digar Mahishkhali,দিগর মহিষখালী
Digdair,দিগদাইর
Digghapar,দিঘাপার
Digha,দিঘা
Dighalbak,দিঘলবাক
Dighali,দিঘালি
Dighalia,দিঘালিয়া
Dighapatia,দিঘাপাটিয়া
Dighi,দীঘি
Dighinala,দিঘিনালা
Dighir Para,দিঘির পাড়া
Dighirpar,দিঘিরপাড়
Dignagar,দিগনগর
Digpaith,দিগপাইত
Dihi,দিহি
Dil Pasar,দিল পাশার
Dilalpur,দিলালপুর
Dimla,ডিমলা
Dinga Manik,ডিংগা মানিক
Dirgha,দীর্ঘা
Ditiyakhanda,দ্বিতীয়খন্ড
Doail,দেওয়াইল
Dobaura,ডোবাউরা
Dobhag,দোভাগ
Dochhari,দোছড়ি
Dogachhi,দোগাছি
Dohakula,দোহাকুলা
Dohar Paurashava,দোহার পৌরসভা
Dohazari,দোহাজারি
Dollai Nowabab Pur,দোল্লাই নবাব পুর
Domar,ডোমার
Domsar,ডোমসার
Dora,দোড়া
Dowhakhala,ডৌহাখলা
Duaria,দুয়ারিয়া
Duaz,দুয়াজ
Dubail,ডুবাইল
Dubalhati,দুবালহাটি
Dudhal,দুধল
Dudhsar,দুধসার
Dudkhali,দুদখালি
Duhalia,দুহালিয়া
Dulahazara,দুলাহাজরা
Dulai,দুলাই
Dulal Pur,দুলাল পুর
Dulalpur,দুলালপুর
Dular Bazar,দুলার বাজার
Dulla,দুল্লা
Dulyatali,দুলিয়াতলি
Dumain,ডুমাইন
Dumdumya,দুমদুম্যা
Dumni,ডুমনি
Dumuria,ডুমুরিয়া
Duosuo,দুওসুও
Duptara,দুপতারা
Duptiair,দপ্তিয়র
Durbadanga,দুর্বাডাঙ্গা
Durduria,দুরদুরিয়া
Durga Pasha,দুর্গা পাশা
Durgahata,দুর্গাহাটা
Durganagar,দুর্গানগর
Durgapasha,দুর্গাপাশা
Durgapur,দুর্গাপুর
Durgapur Paurashava,দুর্গাপুর পৌরসভা
Durlabhpur,দুর্লভপুর
Durmut,দুরমুঠ
Dwippur,দ্বিপ্পুর
East Chitasi,পূর্ব চিতাসি
Egarasindur,এগারসিন্দুর
Ekarchali,একারচলি
Ekatuna,একাটুনা
Ekdala,একডালা
Ekdanta,একদন্ত
Ekduaria,একদুয়ারিয়া
Eklashpur,একলাশপুর
Eklaspur,একলাসপুর
Elahabad,এলাহাবাদ
Elangi,এলাঙ্গি
Elasin,এলাসিন
Elenga,এলেঙ্গা
Elongjuri,এলংজুরি
Eluary,এলুয়ারি
Emadpur,ইমাদপুর
Enayetnagar,ইনায়েতনগর
Enayetpur,এনায়েতপুর
Eochia,ইওচিয়া
Erendabari,এরেন্দাবাড়ি
Erulia,এরুলিয়া
Ewajpur,ইউয়াজপুর
Ewazbalia,ইওয়াজবালিয়া
Failjana,ফৈলজানা
Faitang,ফাইতাং
Fakir Para,ফকির পাড়া
Fakirhat,ফকিরহাট
Falda,ফলদা
Fandauk,ফান্দাউক
Fapore,ফাপোরে
Farajikandi,ফরাজিকান্দি
Farakkabad,ফারাক্কাবাদ
Farazganj,ফারাজগঞ্জ
Farhadnagar,ফরহাদনগর
Faridganj Paurashava,ফরিদগঞ্জ পৌরসভা
Faridpur,ফরিদপুর
Faridpur Paurashava,ফরিদপুর পৌরসভা
Farua,ফারুয়া
Fasiakhali,ফসিয়াখালী
Fasyakhali,ফস্যাখালি
Fateh Jangapur,ফতেহ জাঙ্গাপুর
Fatehabad,ফতেহাবাদ
Fatehjanapur,ফাতেহজানাপুর
Fatehpur,ফতেহপুর
Fatekharkul,ফতেখারকুল
Fathehpur,ফতেহপুর
Fatik Chhari,ফটিক ছড়ি
Fatullah (part),ফতুল্লা (অংশ)
Fazilhati,ফাজিলহাটি
Fazilpur,ফাজিলপুর
Fazlupur,ফজলুপুর
Fenarbak,ফেনারবাক
Fenchuganj,ফেঞ্চুগঞ্জ
Feni Paurashava,ফেনী পৌরসভা
Fhaguradiar,ফাগুরাদিয়ার
Fingri,ফিঙ্গরি
Forhadabad,ফরহাদাবাদ
Fukura,ফুকুরা
Fukurhati,ফুকুরহাটি
Fulbari,ফুলবাড়ি
Fulbaria,ফুলবাড়িয়া
Fulbaria Paurashava,ফুলবাড়িয়া পৌরসভা
Fulchhari,ফুলছড়ি
Fulgazi,ফুলগাজি
Fulhari,ফুলহাড়ি
Fulki,ফুলকি
Fulkocha,ফুলকোচা
Fultala,ফুলতলা
Fursandi,ফুরসান্দি
G.M.Hat,জি.এম. হাট
Gabha Ramchandrapur,গাভা রামচন্দ্রপুর
Gabkhan Dhansiri,গাবখান ধানসিরি
Gabsara,গাবসাড়া
Gabtali,গাবতলি
Gabtali Paurashava,গাবতলি পৌরসভা
Gabura,গাবুড়া
Gachha,গাছা
Gachhua,গাছুয়া
Gadaipur,গদাইপুর
Gadkhali,গদখালি
Gaffargaon,গাফরগাঁও
Gaffargaon Paurashava,গাফরগাঁও পৌরসভা
Gaglajur,গাগলাজুর
Gahira,গাহিরা
Gaibandha,গাইবান্ধা
Gaila,গাইলা
Gainda,গাইন্দা
Gajaghanta,গজঘন্টা
Gajalia,গজালিয়া
Gajna,গজনা
Gajra,গাজরা
Gala,গলা
Galachipa,গলাচিপা
Galagaon,গালাগাঁও
Galiara,গালিয়াড়া
Galimpur,গালিমপুর
Gallai (uttar Gallai Union),গল্লাই (উত্তর গল্লাই ইউনিয়ন)
Galua,গালুয়া
Gamaritala,গামারিতলা
Ganapaddi,গণপদ্দি
Ganda,গন্ডা
Gandail,গান্ধাইল
Gandamara,গন্ডামারা
Ganeshpur,গণেশপুর
Gangachara,গঙ্গাছড়া
Gangail,গংগাইল
Ganganandapur,গঙ্গানন্দপুর
Gangapur,গঙ্গাপুর
Gangarampur,গঙ্গারামপুর
Gangni,গাংনী
Gangni Paurashava,গাংনি পৌরসভা
Ganguria,গাংগুরিয়া
Gangutia,গাঙ্গুটিয়া
Ganipur,গণিপুর
Ganna,গান্না
Gaodia,গাওদিয়া
Gaokandia,গাওকান্দিয়া
Gaola,গাওলা
Garadaha,গরদহ
Garadoba,গরাডোবা
Garagram,গড়গ্রাম
Garduara,গরদুয়ারা
Gareya,গাড়িয়া
Gargari,গড়গড়ি
Gariber Char,গরীবের চর
Garidaha,গারিদহ
Garinabari,গরিনাবাড়ি
Garjania,গরজনিয়া
Garjaripa,গর্জরিপা
Garmora,গাড়মোরা
Garpara,গরপাড়া
Garuikhali,গারুইখালী
Garuria,গারুরিয়া
Gatti,গাট্টি
Gaurambha,গৌরাম্ভা
Gaurichanna,গৌরিচান্না
Gaurighona,গৌড়ীঘোনা
Gaurigram,গৌরীগ্রাম
Gauripur,গৌরিপুর
Gauripur Paurashava,গৌরীপুর পৌরসভা
Gayabari,গয়াবাড়ি
Gayeshpur,গায়েশপুর
Gayhata,গায়হাটা
Gazalia,গজালিয়া
Gazaria,গাজারিয়া
Gazipur,গাজীপুর
Gazipur Paurashava,গাজীপুর পৌরসভা
Gazir Bhita,গাজির ভিটা
Gazir Char,গাজির চর
Gazir Hat,গাজীর হাট
Gazirtek,গাজিরটেক
Gaznapur,গজনাপুর
Gedura,গেদুড়া
Ghagar,ঘাগর
Ghagoa,ঘাগোয়া
Ghagotia,ঘাগটিয়া
Ghagra,ঘাগড়া
Ghagutia,ঘাগুটিয়া
Ghalangya,গ্যালেংগ্যা
Ghandung,ঘন্ডুং
Gharialdanga,ঘাড়িয়ালডাঙ্গা
Gharinda,ঘারিন্দা
Gharisar,ঘড়িসার
Gharjan,ঘরজান
Gharua,ঘারুয়া
Ghasigram,ঘাসিগ্রাম
Ghatail,ঘাটাইল
Ghatail Paurashava,ঘাটাইল পৌরসভা
Ghatbhogh,ঘাটভোগ
Ghatmajhi,ঘাটমাঝি
